sec_app_earliest_cr_line ,Línea de crédito más antigua del solicitante secundario al momento de la solicitud.,,,,,,,,,
sec_app_inq_last_6mths ,Consultas de crédito del solicitante secundario en los últimos 6 meses al momento de la solicitud.,,,,,,,,,
sec_app_mort_acc ,Número de cuentas hipotecarias del solicitante secundario al momento de la solicitud.,,,,,,,,,
sec_app_open_acc ,Número de cuentas crediticias abiertas del solicitante secundario al momento de la solicitud.,,,,,,,,,
sec_app_revol_util ,Relación entre el saldo corriente total y el crédito máximo/límite de crédito de todas las cuentas revolventes.,,,,,,,,,
sec_app_open_act_il,Número de cuentas a plazos actualmente activas del solicitante secundario al momento de la solicitud.,,,,,,,,,
sec_app_num_rev_accts ,Número de cuentas revolventes del solicitante secundario al momento de la solicitud.,,,,,,,,,
sec_app_chargeoff_within_12_mths ,Número de cuentas castigadas (charge-offs) del solicitante secundario en los últimos 12 meses al momento de la solicitud.,,,,,,,,,
sec_app_collections_12_mths_ex_med ,"Número de cobranzas del solicitante secundario en los últimos 12 meses, excluyendo cobranzas médicas, al momento de la solicitud.",,,,,,,,,
sec_app_mths_since_last_major_derog ,Meses transcurridos desde la calificación de mora más reciente de 90 días o más del solicitante secundario al momento de la solicitud.,,,,,,,,,
hardship_flag,Indica si el prestatario está o no acogido a un plan por dificultades financieras (hardship plan).,,,,,,,,,
hardship_type,Describe la modalidad del plan por dificultades financieras ofrecido.,,,,,,,,,
hardship_reason,Describe el motivo por el que se ofreció el plan por dificultades financieras.,,,,,,,,,
hardship_status,"Indica si el plan por dificultades financieras está activo, pendiente, cancelado, completado o incumplido.",,,,,,,,,
deferral_term,Número de meses durante los cuales se espera que el prestatario pague menos que el monto mensual contractual debido a un plan por dificultades financieras.,,,,,,,,,
hardship_amount,Pago de intereses que el prestatario se ha comprometido a realizar cada mes mientras se encuentra acogido a un plan por dificultades financieras.,,,,,,,,,
hardship_start_date,Fecha de inicio del período del plan por dificultades financieras.,,,,,,,,,
hardship_end_date,Fecha de finalización del período del plan por dificultades financieras.,,,,,,,,,
payment_plan_start_date,"Fecha de vencimiento del primer pago del plan por dificultades financieras. Por ejemplo, si el prestatario tiene un período de plan de 3 meses, la fecha de inicio corresponde al comienzo del período de tres meses durante el cual se le permite realizar pagos únicamente de intereses.",,,,,,,,,
hardship_length,Número de meses durante los cuales el prestatario realizará pagos menores a los normalmente exigidos debido a un plan por dificultades financieras.,,,,,,,,,
hardship_dpd,Días de atraso de la cuenta a la fecha de inicio del plan por dificultades financieras.,,,,,,,,,
hardship_loan_status,Estado del préstamo a la fecha de inicio del plan por dificultades financieras.,,,,,,,,,
orig_projected_additional_accrued_interest,Monto original proyectado de intereses adicionales que se acumularán para el plan de pagos por dificultades financieras a la fecha de inicio del plan. Este campo será nulo si el prestatario ha incumplido dicho plan.,,,,,,,,,
hardship_payoff_balance_amount,Saldo de liquidación del préstamo a la fecha de inicio del plan por dificultades financieras.,,,,,,,,,
hardship_last_payment_amount,Monto del último pago a la fecha de inicio del plan por dificultades financieras.,,,,,,,,,
disbursement_method,"Método mediante el cual el prestatario recibe el préstamo. Valores posibles: CASH (efectivo), DIRECT_PAY (pago directo).",,,,,,,,,
debt_settlement_flag,Indica si el prestatario cuyo préstamo fue castigado (charge-off) está trabajando o no con una empresa de negociación de deudas.,,,,,,,,,
debt_settlement_flag_date,Fecha más reciente en la que se estableció el indicador Debt_Settlement_Flag.,,,,,,,,,
settlement_status,"Estado del plan de liquidación de deuda del prestatario. Valores posibles: COMPLETE (completado), ACTIVE (activo), BROKEN (incumplido), CANCELLED (cancelado), DENIED (denegado), DRAFT (borrador).",,,,,,,,,
settlement_date,Fecha en la que el prestatario acepta el plan de liquidación de deuda.,,,,,,,,,
settlement_amount,Monto del préstamo que el prestatario ha acordado pagar como liquidación.,,,,,,,,,
settlement_percentage,Monto de liquidación expresado como porcentaje del saldo de liquidación del préstamo.,,,,,,,,,
settlement_term,Número de meses durante los cuales el prestatario estará sujeto al plan de liquidación de deuda.,,,,,,,,,
,,,,,,,,,,
,* El cargo del empleador (Employer Title) reemplaza al nombre del empleador (Employer Name) para todos los préstamos publicados después del 23/09/2013.,,,,,,,,,
